upc,name,category,subcategory,size_grams,unit_price
7501230000001,Sazonador Brasa 100gr,sazonadores,polvo,100,79.00
7501230000002,Sazonador Spicy 100gr,sazonadores,polvo,100,79.00
7501230000003,Sazonador Pa Todo 100gr,sazonadores,polvo,100,79.00
7501230000004,Sazonador Mezquite 100gr,sazonadores,polvo,100,79.00
7501230000005,Sazonador Pepper 100gr,sazonadores,polvo,100,79.00
7501230000006,Sazonador Finas Hierbas 100gr,sazonadores,polvo,100,79.00
7501230000007,Sazonador Norteño 100gr,sazonadores,polvo,100,79.00
7501230000008,Sazonador Brasa 250gr,sazonadores,polvo,250,169.00
7501230000009,Sazonador Spicy 250gr,sazonadores,polvo,250,169.00
7501230000010,Sazonador Pa Todo 250gr,sazonadores,polvo,250,169.00
7501230000011,Sazonador Mezquite 250gr,sazonadores,polvo,250,169.00
7501230000012,Sazonador Pepper 250gr,sazonadores,polvo,250,169.00
7501230000013,Sazonador Finas Hierbas 250gr,sazonadores,polvo,250,169.00
7501230000014,Sazonador Norteño 250gr,sazonadores,polvo,250,169.00
7501230000015,Carne Seca Machacado 250gr,carne_seca,solido,250,379.00
