id_tienda,nombre_tienda,Cluster,Ciudad
2160,2160 Cat Monterrey,CEDIS,CEDIS
2907,2907 HEB LEO TORRES LANDA,LEON,Cluster C Baj’o
2912,2912 HEB SLP LOMAS,SAN LUIS POTOSI,Cluster AA Light
2913,2913 HEB AGS SANTA MONICA,AGUASCALIENTES,Cluster B Baj’o
2915,2915 HEB QRO EL MIRADOR,QUERETARO,Cluster A
2918,2918 HEB IRA IRAPUATO,IRAPUATO,Cluster B Baj’o
2919,2919 HEB QRO ZIBATA,QUERETARO,Cluster A
2922,2922 HEB SLP CARRETERA 57,SAN LUIS POTOSI,Cluster B Baj’o
2924,2924 HEB MTY TEC,MONTERREY,Cluster A
2926,2926 HEB MTY PUERTA DE HIERRO,MONTERREY,Cluster A
2927,2927 HEB MVA PAPE,MONCLOVA,Cluster B
2928,2928 HEB VIC CAMPESTRE,CIUDAD VICTORIA,Cluster B
2929,2929 HEB MTY LA PUERTA,MONTERREY,Cluster C
2930,2930 HEB MAT LAURO VILLAR,MATAMOROS,Cluster B Frontera
2933,2933 HEB TOR REVOLUCION,TORREON,Cluster B
2934,2934 HEB TOR SENDEROS,TORREON,Cluster A
2935,2935 HEB MTY LAS PUENTES,MONTERREY,Cluster B
2936,2936 HEB TAM MADERO,TAMPICO,Cluster B
2937,2937 HEB LEO CERRO GORDO,LEON,Cluster AA Light
2940,2940 HEB SLP LOS PINOS,SAN LUIS POTOSI,Cluster C Baj’o
2943,2943 HEB MTY CERRADAS DE ANAHUAC,MONTERREY,Cluster B
2945,2945 HEB MTY BOSQUES DE LAS LOMAS,MONTERREY,Cluster A
2946,2946 HEB MTY EL URO,MONTERREY,Cluster AA Light
2950,2950 HEB MTY CHIPINQUE,MONTERREY,Cluster AA
2951,2951 HEB MTY CONTRY,MONTERREY,Cluster A
2952,2952 HEB MTY SAN NICOLAS,MONTERREY,Cluster A
2953,2953 HEB MTY LOS MORALES,MONTERREY,Cluster B
2954,2954 HEB SAL REPUBLICA,SALTILLO,Cluster A
2957,2957 HEB MTY CHAPULTEPEC,MONTERREY,Cluster C
2958,2958 HEB MTY LINCOLN,MONTERREY,Cluster C
2960,2960 HEB REY MORELOS,REYNOSA,Cluster B Frontera
2961,2961 HEB MTY LINDA VISTA,MONTERREY,Cluster B
2962,2962 HEB MAT MATAMOROS,MATAMOROS,Cluster B Frontera
2963,2963 HEB MTY SANTA CATARINA,MONTERREY,Cluster B
2964,2964 HEB TAM EJERCITO,TAMPICO,Cluster B
2965,2965 HEB MTY SOLIDARIDAD,MONTERREY,Cluster C
2967,2967 HEB MTY GUADALUPE JUAREZ,MONTERREY,Cluster C
2968,2968 HEB NVO NUEVO LAREDO,NUEVO LAREDO,Cluster B Frontera
2970,2970 HEB TOR INDEPENDENCIA,TORREON,Cluster B
2971,2971 HEB PIE PIEDRAS NEGRAS,PIEDRAS NEGRAS,Cluster B Frontera
2973,2973 HEB TAM HIDALGO,TAMPICO,Cluster B
2974,2974 HEB MTY ESCOBEDO,MONTERREY,Cluster C
2975,2975 HEB MTY SAN PEDRO,MONTERREY,Cluster AA
2976,2976 HEB MTY ACAPULCO,MONTERREY,Cluster C
2977,2977 HEB MTY GUADALUPE LIVAS,MONTERREY,Cluster C
2978,2978 HEB MTY CUMBRES,MONTERREY,Cluster AA Light
2979,2979 HEB MTY SENDERO,MONTERREY,Cluster B
2980,2980 HEB MTY CONCORDIA,MONTERREY,Cluster B
2981,2981 HEB MTY VALLE ALTO,MONTERREY,Cluster AA Light
2982,2982 HEB QRO JURIQUILLA,QUERETARO,Cluster AA Light
2984,2984 HEB LEO LOPEZ MATEOS,LEON,Cluster C Baj’o
2985,2985 HEB AGS AGUASCALIENTES,AGUASCALIENTES,Cluster B Baj’o
2986,2986 HEB SLP SAN LUIS POTOSI,SAN LUIS POTOSI,Cluster B Baj’o
2987,2987 HEB REY LAS FUENTES,REYNOSA,Cluster B Frontera
2989,2989 HEB SAL LA NOGALERA,SALTILLO,Cluster C
2992,2992 eFC MTY AARON SAENZ,MONTERREY,Cluster EAA
2993,2993 HEB SAL SAN PATRICIO,SALTILLO,Cluster AA Light
2996,2996 HEB MTY VALLE ORIENTE,MONTERREY,Cluster AA
2997,2997 HEB QRO EL REFUGIO,QUERETARO,Cluster A
9100,9100 HEB QRO BERNARDO QUINTANA,QUERETARO,Cluster AA Light
9105,9105 HEB QRO SAN JUAN DEL RIO,QUERETARO,Cluster C Baj’o
9106,9106 HEB MTY DIEGO DIAZ,MONTERREY,Cluster C
9108,9108 HEB MTY RINCONADA,MONTERREY,Cluster B
