product_name,units_per_case,cases_per_pallet,min_order_units,order_multiple
Sazonador Brasa 100gr,24,120,24,24
Sazonador Spicy 100gr,24,120,24,24
Sazonador Pa Todo 100gr,24,120,24,24
Sazonador Mezquite 100gr,24,120,24,24
Sazonador Pepper 100gr,24,120,24,24
Sazonador Finas Hierbas 100gr,24,120,24,24
Sazonador Norteño 100gr,24,120,24,24
Sazonador Brasa 250gr,12,80,12,12
Sazonador Spicy 250gr,12,80,12,12
Sazonador Pa Todo 250gr,12,80,12,12
Sazonador Mezquite 250gr,12,80,12,12
Sazonador Pepper 250gr,12,80,12,12
Sazonador Finas Hierbas 250gr,12,80,12,12
Sazonador Norteño 250gr,12,80,12,12
Carne Seca Machacado 250gr,6,60,6,6
